product_id,product_name,category_id,brand,unit_price,cost_price,stock_quantity,is_active,created_date,avg_rating
5000,boAt Premium Smartphone,1001,boAt,38584.86,23874.66,100,1,2024-11-11,4.0
5001,boAt Pro Earbuds,1001,boAt,26773.87,15411.68,5,1,2023-01-27,4.0
5002,Apple Classic Power Bank,1001,Apple,66294.67,43454.86,0,0,2023-10-20,4.6
5003,Xiaomi Classic Smartphone,1001,Xiaomi,23801.91,14475.49,20,1,2023-08-26,4.4
5004,Apple Premium Power Bank,1001,Apple,33970.22,20372.26,50,1,2025-02-23,3.0
5005,Xiaomi Signature Power Bank,1001,Xiaomi,18139.42,12013.78,20,1,2024-12-21,4.3
5006,Noise Premium Charger,1001,Noise,62635.2,47067.52,20,1,2025-08-08,4.0
5007,OnePlus Everyday Phone Case,1001,OnePlus,22926.92,13500.97,50,1,2023-04-03,4.2
5008,Samsung Classic Charger,1001,Samsung,22291.01,14377.3,100,1,2024-03-25,3.9
5009,Apple Everyday Charger,1001,Apple,29896.89,18420.38,5,1,2023-02-01,3.5
5010,Apple Comfort Smartphone,1001,Apple,45411.96,26393.73,20,1,2023-08-21,3.4
5011,Apple Classic Phone Case,1001,Apple,15493.34,9656.91,250,1,2024-06-22,4.2
5012,Apple Everyday Power Bank,1001,Apple,43542.45,26041.53,5,1,2023-01-29,4.2
5013,boAt Premium Smartphone,1001,boAt,28408.23,17243.07,50,1,2023-07-31,3.9
5014,Noise Classic Charger,1001,Noise,23907.29,14540.36,20,1,2024-11-23,4.7
5015,OnePlus Signature Smartphone,1001,OnePlus,35394.1,23478.77,5,0,2024-08-03,3.9
5016,OnePlus Pro Charger,1001,OnePlus,21456.81,13706.99,0,1,2023-08-23,4.5
5017,Apple Classic Charger,1001,Apple,50400.59,35721.14,100,1,2024-09-19,4.7
5018,Xiaomi Essential Power Bank,1001,Xiaomi,19784.41,13167.81,100,1,2025-05-12,3.9
5019,Xiaomi Smart Charger,1001,Xiaomi,23686.75,17081.78,20,1,2023-01-07,4.0
5020,HP Essential Laptop,1002,HP,81564.05,61275.93,100,1,2025-05-08,4.9
5021,HP Deluxe Monitor,1002,HP,65101.24,39239.49,100,1,2025-01-13,3.7
5022,Dell Everyday Laptop Bag,1002,Dell,53368.07,38097.31,50,1,2023-12-29,5.0
5023,Dell Comfort Monitor,1002,Dell,56749.63,34970.26,20,1,2023-06-15,3.9
5024,Acer Smart Keyboard,1002,Acer,48681.04,29972.21,50,1,2025-10-16,4.3
5025,Acer Signature Laptop Bag,1002,Acer,36265.93,23567.42,250,1,2023-12-25,3.8
5026,Acer Pro Keyboard,1002,Acer,85869.33,57822.6,100,1,2023-04-09,4.3
5027,Dell Classic Laptop,1002,Dell,57034.96,40315.82,100,1,2023-04-14,4.7
5028,HP Ultra Monitor,1002,HP,38248.3,24715.74,20,1,2025-06-21,3.9
5029,Acer Comfort Laptop Bag,1002,Acer,63003.22,38611.75,0,1,2024-10-04,4.3
5030,Apple Premium Laptop Bag,1002,Apple,26774.24,19550.03,20,1,2025-05-09,3.8
5031,Apple Deluxe Laptop Bag,1002,Apple,50123.14,31830.39,50,1,2025-02-16,4.3
