order_item_id,order_id,product_id,quantity,unit_price,discount_percent,line_total
800000,700000,5276,2,463.18,0,926.36
800001,700000,5312,2,2527.93,5,4803.07
800002,700001,5312,1,2527.93,10,2275.14
800003,700001,5259,3,2094.33,0,6282.99
800004,700001,5483,4,797.72,5,3031.34
800005,700002,5276,2,463.18,10,833.72
800006,700002,5017,2,50400.59,0,100801.18
800007,700003,5273,2,1198.69,5,2277.51
800008,700003,5276,2,463.18,0,926.36
800009,700004,5276,1,463.18,0,463.18
800010,700004,5155,3,1994.03,0,5982.09
800011,700004,5312,4,2527.93,10,9100.55
800012,700005,5276,4,463.18,0,1852.72
800013,700005,5483,1,797.72,15,678.06
800014,700005,5312,3,2527.93,0,7583.79
800015,700005,5017,3,50400.59,0,151201.77
800016,700006,5276,1,463.18,15,393.7
800017,700006,5402,1,1023.97,0,1023.97
800018,700006,5312,1,2527.93,0,2527.93
800019,700007,5276,2,463.18,0,926.36
800020,700008,5467,1,200.06,5,190.06
800021,700008,5276,2,463.18,0,926.36
800022,700008,5149,2,3249.85,0,6499.7
800023,700008,5002,2,66294.67,0,132589.34
800024,700008,5479,2,507.24,0,1014.48
800025,700008,5293,3,1902.49,30,3995.23
800026,700008,5038,2,33110.73,0,66221.46
800027,700009,5276,2,463.18,0,926.36
800028,700009,5312,2,2527.93,0,5055.86
800029,700010,5312,2,2527.93,0,5055.86
800030,700010,5276,1,463.18,0,463.18
800031,700010,5042,2,66334.75,0,132669.5
800032,700010,5155,3,1994.03,5,5682.99
800033,700010,5483,4,797.72,0,3190.88
800034,700010,5017,3,50400.59,0,151201.77
800035,700010,5374,1,5239.31,20,4191.45
800036,700011,5312,3,2527.93,5,7204.6
800037,700011,5276,1,463.18,0,463.18
800038,700011,5017,3,50400.59,20,120961.42
800039,700012,5276,3,463.18,10,1250.59
800040,700012,5312,1,2527.93,0,2527.93
800041,700012,5265,2,1173.6,0,2347.2
800042,700013,5276,2,463.18,0,926.36
800043,700013,5312,1,2527.93,20,2022.34
800044,700014,5276,1,463.18,0,463.18
800045,700014,5312,2,2527.93,10,4550.27
